MAG_USE,RA,DEC,star_ok,MAIN_ID,PMRA,PMDEC
14.38,6.0253815,-72.085144,1,M045043,0.0,0.0
14.68,6.0602415,-72.0851,1,M045170,0.0,0.0
13.99,6.040107000000001,-72.085074,1,M045257,0.0,0.0
13.79,6.0528794999999995,-72.085056,1,M045329,0.0,0.0
13.46,5.9962275,-72.08505,1,M045351,0.0,0.0
14.39,6.020943,-72.08501,1,M045496,0.0,0.0
13.64,6.063801,-72.084975,1,M045585,0.0,0.0
13.58,6.0617399999999995,-72.084965,1,M045623,0.0,0.0
14.58,6.044395499999999,-72.084925,1,M045747,0.0,0.0
14.23,6.0240915,-72.084913,1,M045786,0.0,0.0
14.23,6.0212235000000005,-72.084891,1,M045852,0.0,0.0
14.47,6.0182865,-72.084872,1,M045918,0.0,0.0
14.4,6.058971,-72.084851,1,M045986,0.0,0.0
14.18,5.986383,-72.084825,1,M046076,0.0,0.0
13.34,6.0116475,-72.084817,1,M046095,0.0,0.0
14.38,6.0160605,-72.084809,1,M046124,0.0,0.0
14.18,6.0877514999999995,-72.084798,1,M046162,0.0,0.0
14.59,6.041217,-72.084796,1,M046172,0.0,0.0
14.4,6.0947355,-72.084765,1,M046276,0.0,0.0
14.4,5.9521995,-72.084749,1,M046323,0.0,0.0
13.3,6.019947,-72.084721,1,M046415,0.0,0.0
14.68,6.081504,-72.08472,1,M046419,0.0,0.0
14.86,6.0374295,-72.084697,1,M046496,0.0,0.0
14.67,6.070731,-72.084651,1,M046610,0.0,0.0
13.92,6.0197775,-72.08465,1,M046613,0.0,0.0
14.33,6.037716,-72.08459,1,M046821,0.0,0.0
14.49,5.992965000000001,-72.084577,1,M046862,0.0,0.0
14.56,6.017271,-72.084546,1,M046960,0.0,0.0
14.44,6.0284474999999995,-72.084467,1,M047197,0.0,0.0
14.4,6.032901,-72.084464,1,M047205,0.0,0.0
14.67,6.099195,-72.084463,1,M047215,0.0,0.0
14.53,6.0499785,-72.084454,1,M047249,0.0,0.0
14.38,6.0341819999999995,-72.084426,1,M047333,0.0,0.0
14.4,6.036588,-72.084424,1,M047345,0.0,0.0
14.47,5.9986545,-72.084417,1,M047368,0.0,0.0
14.47,6.0347955,-72.084399,1,M047431,0.0,0.0
13.84,6.0228855,-72.084385,1,M047482,0.0,0.0
14.64,6.025174499999999,-72.08437,1,M047538,0.0,0.0
14.56,5.9955105,-72.084329,1,M047661,0.0,0.0
14.42,6.0474525,-72.084327,1,M047667,0.0,0.0
14.0,6.0127815,-72.084308,1,M047727,0.0,0.0
14.51,6.069075,-72.084284,1,M047817,0.0,0.0
14.42,6.0188385,-72.084247,1,M047948,0.0,0.0
14.31,6.0448200000000005,-72.084238,1,M047974,0.0,0.0
14.96,5.9647725,-72.084235,1,M047981,0.0,0.0
13.21,6.024837,-72.084233,1,M047985,0.0,0.0
14.86,6.026993999999999,-72.084161,1,M048212,0.0,0.0
15.0,6.0246015,-72.084158,1,M048222,0.0,0.0
14.95,5.9617935,-72.084155,1,M048237,0.0,0.0
14.17,6.025554,-72.084131,1,M048309,0.0,0.0
14.42,6.0682815,-72.084109,1,M048379,0.0,0.0
14.35,5.9962875,-72.084085,1,M048445,0.0,0.0
14.92,6.044412,-72.084004,1,M048707,0.0,0.0
14.3,5.9879999999999995,-72.083978,1,M048788,0.0,0.0
13.12,6.044741999999999,-72.083965,1,M048825,0.0,0.0
