MAIN_ID,RA,DEC,RA_err,DEC_err,PMRA,PMRA_err,PMDEC,PMDEC_err,N_used,MAG_EXTRAPOL,m_F606W,m_F814W,m_F606W_err,m_F814W_err,BB_Lpmag,BBtemps
42539,6.007953497580121,-72.08550888888888,0.0,0.0,-0.26364,0.0658,-0.0886,0.04172,16,2.2459999999999933,14.182,13.436,9.9,9.9,13.110654819847005,7217859.347963073
58860,6.07583069436947,-72.07209505555555,0.0,0.0,0.84876,0.03572,-1.02128,0.12408,10,1.8559999999999963,14.208,13.436,9.9,9.9,13.110654819847005,7217859.347963073
57257,6.087330298442605,-72.0803275,0.0,0.0,0.29632,0.03044,0.13284,0.06728,10,1.8649999999999967,14.217,13.445,9.9,9.9,13.119654819847005,7217859.347963073
34866,6.0456194159083605,-72.08600153333333,0.0,0.0,0.5514,0.10408,1.21324,0.04488,9,1.8060000000000027,14.222,13.446,9.9,9.9,13.120654819847005,7217859.347963073
38822,6.0267870184633905,-72.08385299999999,0.0,0.0,-0.83456,0.03208,0.39472,0.02004,70,1.8549999999999773,14.223,13.45,9.9,9.9,13.124654819847004,7217859.347963073
14703,6.01321372060283,-72.10570178888888,0.0,0.0,0.68936,0.024,0.09304,0.17456,12,1.916999999999998,14.221,13.452,9.9,9.9,13.126654819847005,7217859.347963073
10753,6.03961621206621,-72.10080695555554,0.0,0.0,0.1858,0.05776,-0.2862,0.0778,12,1.8299999999999947,14.23,13.455,9.9,9.9,13.129654819847005,7217859.347963073
61165,6.061325325122081,-72.07232858888888,0.0,0.0,0.23872,0.14748,-0.70796,0.10012,10,1.9719999999999995,14.228,13.462,9.9,9.9,13.136654819847005,7217859.347963073
70240,6.01542956894638,-72.07904937777776,0.0,0.0,0.40764,1.34296,1.20632,0.72156,9,1.734,14.246,13.464,9.9,9.9,13.138654819847005,7217859.347963073
58783,6.07579392910249,-72.07769802222221,0.0,0.0,0.10508,0.04392,-0.80616,0.0878,10,2.0799999999999947,14.224,13.465,9.9,9.9,13.139654819847005,7217859.347963073
