MAIN_ID,RA,DEC,PMRA,PMDEC,MAG_V,MAG_U,MAG_USE
M075884,0 24 6.98544,-72 4 33.1644,-0.257,-1.09,18.78,19.753,18.88
M075899,0 24 5.70384,-72 4 33.15,-0.0353,-0.468,19.312,20.605,19.45
M075929,0 24 6.5898,-72 4 33.114,1.23,-0.307,16.967,18.587,17.19
M075939,0 24 5.96808,-72 4 33.0996,0.34,0.575,19.767,21.441,19.95
M075943,0 23 44.57508,-72 4 33.0996,0.443,0.199,17.496,18.241,17.7
M075948,0 24 6.24672,-72 4 33.096,0.429,1.36,19.439,20.603,18.86
M075962,0 23 50.5698,-72 4 33.078,-0.0419,-1.18,17.922,18.672,18.11
M075970,0 23 56.00436,-72 4 33.06,0.75,-0.49,19.752,21.261,19.93
M075984,0 24 5.04,-72 4 33.042,-1.35,0.233,19.639,21.09,19.71
M075999,0 23 51.6714,-72 4 33.0204,0.291,-0.294,18.591,19.539,18.81
M076007,0 24 6.26832,-72 4 33.0168,-0.722,0.52,19.007,20.126,19.06
M076018,0 23 52.2222,-72 4 33.006,0.217,-0.192,18.074,18.87,18.27
M076038,0 23 47.94072,-72 4 32.9916,0.554,0.127,17.392,18.154,17.59
M076050,0 23 57.91164,-72 4 32.9772,-0.994,0.679,17.631,18.402,17.86
M076058,0 24 7.05276,-72 4 32.9664,0.965,-0.817,17.624,18.444,17.74
M076074,0 23 53.38896,-72 4 32.9484,0.566,-0.0546,18.679,19.75,18.93
M076083,0 24 6.40836,-72 4 32.934,-0.351,0.0327,18.037,18.796,18.12
M076084,0 23 49.62984,-72 4 32.934,1.38,0.0154,18.343,19.23,18.57
M076096,0 23 50.19072,-72 4 32.916,0.222,-0.0637,18.378,19.246,18.59
M076114,0 23 54.8268,-72 4 32.898,-0.103,-0.735,19.569,21.326,19.97
M076116,0 23 46.0248,-72 4 32.8944,-1.07,-1.12,19.151,20.491,19.42
M076123,0 23 53.73096,-72 4 32.8872,-0.327,0.868,16.977,18.496,17.31
M076135,0 23 48.87312,-72 4 32.8692,-0.153,0.332,18.119,18.916,18.35
M076139,0 23 51.25992,-72 4 32.8656,-0.451,0.455,19.415,20.865,19.65
M076148,0 23 49.53876,-72 4 32.8548,-0.746,-0.184,19.37,20.777,19.52
M076154,0 24 5.79168,-72 4 32.8404,-0.24,-0.156,17.319,18.476,17.5
M076171,0 24 5.26104,-72 4 32.8152,0.991,0.44,19.044,20.037,19.07
M076173,0 24 6.19956,-72 4 32.8152,0.0686,0.297,17.549,18.4,17.66
M076176,0 24 5.57316,-72 4 32.808,-0.293,0.688,18.093,19.193,18.22
M076179,0 24 6.87852,-72 4 32.808,-1.14,0.355,17.381,18.295,17.51
M076190,0 23 53.27304,-72 4 32.7972,0.979,0.421,18.333,19.171,18.55
M076197,0 23 53.89836,-72 4 32.7864,0.882,-0.733,19.091,20.425,19.43
M076206,0 23 46.1166,-72 4 32.7756,-0.69,-0.235,18.767,19.692,18.93
M076216,0 23 56.72004,-72 4 32.7684,-1.69,-0.498,18.935,19.928,19.11
M076217,0 24 6.4476,-72 4 32.7648,-0.181,-0.853,17.899,18.712,18.02
M076228,0 23 56.00868,-72 4 32.754,0.381,0.97,18.829,19.781,18.93
M076250,0 24 5.35032,-72 4 32.718,1.29,-0.519,19.083,20.613,19.48
M076273,0 24 6.17184,-72 4 32.6964,0.241,0.24,19.398,20.638,18.65
M076277,0 23 54.37536,-72 4 32.6964,-0.189,1.76,19.185,20.548,19.53
M076288,0 23 57.45156,-72 4 32.6784,-0.973,-0.406,17.25,18.13,17.5
M076296,0 23 55.91544,-72 4 32.6712,-0.169,1.71,18.497,19.513,18.77
M076305,0 23 54.16008,-72 4 32.664,0.852,0.277,17.205,18.307,17.5
M076323,0 23 44.78172,-72 4 32.6424,0.487,-0.408,17.852,18.551,18.05
M076325,0 23 45.41388,-72 4 32.6424,-0.133,0.706,18.52,19.342,18.71
M076332,0 24 5.09724,-72 4 32.6352,-0.928,0.188,18.725,19.783,18.6
M076361,0 23 57.16392,-72 4 32.5992,0.841,-0.94,16.816,18.457,17.2
M076370,0 23 49.69824,-72 4 32.5884,0.337,-0.847,19.519,21.115,19.77
