MAIN_ID,oRA,oDE,n_Name,Name,MAG_USE,min,OK,c,RA,DEC,PMRA,PMDEC
2088,5.2874,-82.8199,,2088,13.92,24.01,1,100.0,6.028404,-72.104289,0.0,0.0
46613,-4.2602,-12.1191,,46613,13.92,18.64,1,99.8,6.019777,-72.08465,0.0,0.0
64397,70.9707,6.6694,,64397,13.92,26.01,1,99.94,6.087694,-72.079431,0.0,0.0
52083,18.0685,-6.2008,,52083,13.93,21.63,1,100.0,6.039939,-72.083006,0.0,0.0
74524,-3.2733,17.9293,,74524,13.93,18.6,1,99.87,6.02067,-72.076303,0.0,0.0
21920,5.8035,-43.2798,,21920,13.94,23.99,1,99.91,6.028867,-72.093306,0.0,0.0
39819,51.4971,-19.8931,,39819,13.94,23.41,1,100.0,6.070132,-72.086809,0.0,0.0
72520,0.6344,15.6375,,72520,13.94,19.9,1,99.65,6.024198,-72.07694,0.0,0.0
77820,-11.4686,21.7241,,77820,13.94,23.45,1,99.96,6.013274,-72.075249,0.0,0.0
41861,-58.4188,-17.543,,41861,13.95,24.36,1,99.92,5.970867,-72.086157,0.0,0.0
55262,-11.2384,-2.8784,,55262,13.95,21.78,1,99.76,6.013477,-72.082083,0.0,0.0
56637,-45.545,-1.4067,,56637,13.95,24.46,1,100.0,5.982504,-72.081674,0.0,0.0
31387,-86.4879,-30.2888,,31387,13.96,28.14,1,100.0,5.945504,-72.089697,0.0,0.0
33134,5.9225,-28.004,,33134,13.96,23.93,1,99.89,6.028974,-72.089062,0.0,0.0
67548,1.0475,10.1216,,67548,13.96,22.79,1,99.76,6.02457,-72.078472,0.0,0.0
72407,8.2635,15.5191,,72407,13.97,22.01,1,99.82,6.031084,-72.076973,0.0,0.0
129491,-42.1387,123.429,,129491,13.97,21.98,1,100.0,5.985651,-72.046998,0.0,0.0
38648,30.1345,-21.2427,,38648,13.98,24.77,1,100.0,6.050841,-72.087184,0.0,0.0
50192,-32.236,-8.2108,,50192,13.98,21.52,1,100.0,5.994517,-72.083564,0.0,0.0
71383,54.6306,14.347,,71383,13.98,22.36,1,100.0,6.072937,-72.077298,0.0,0.0
71718,-21.9032,14.7485,,71718,13.98,23.55,1,99.96,6.003854,-72.077187,0.0,0.0
105066,98.7947,59.8065,,105066,13.98,22.95,1,100.0,6.112741,-72.064671,0.0,0.0
36534,-0.4188,-23.7871,,36534,13.99,23.3,1,100.0,6.023247,-72.087891,0.0,0.0
39141,21.5179,-20.669,,39141,13.99,22.87,1,100.0,6.043059,-72.087025,0.0,0.0
45257,18.2516,-13.6455,,45257,13.99,23.35,1,100.0,6.040107,-72.085074,0.0,0.0
60229,-37.9875,2.3244,,60229,13.99,23.26,1,100.0,5.989329,-72.080638,0.0,0.0
62759,20.8592,4.9302,,62759,13.99,20.76,1,99.83,6.042456,-72.079914,0.0,0.0
67050,-0.1988,9.6017,,67050,13.99,20.84,1,99.67,6.023445,-72.078616,0.0,0.0
70803,-16.5013,13.6911,,70803,13.99,18.32,1,99.8,6.00873,-72.07748,0.0,0.0
72732,0.2699,15.8666,,72732,13.99,19.85,1,99.64,6.023868,-72.076876,0.0,0.0
7267,-20.1212,-67.9163,,7267,14.0,20.54,1,100.0,6.005441,-72.100149,0.0,0.0
28008,41.393,-34.7301,,28008,14.0,23.61,1,100.0,6.061016,-72.090931,0.0,0.0
47727,-12.0082,-10.8892,,47727,14.0,23.63,1,99.74,6.012781,-72.084308,0.0,0.0
64711,14.6216,6.9924,,64711,14.0,18.41,1,99.65,6.036825,-72.079341,0.0,0.0
67256,47.853,9.82,,67256,14.0,19.35,1,99.96,6.066822,-72.078556,0.0,0.0
84577,1.3579,30.0444,,84577,14.0,20.76,1,99.88,6.024851,-72.072938,0.0,0.0
93639,13.774,42.2156,,93639,14.0,24.06,1,99.93,6.036052,-72.069557,0.0,0.0
